component,model,family,rank,residual_fraction,residual_rms_uK,masked_corr,description
SEVEM,shuffled_spectrum_null_seed_271835,shuffled_null,37,0.9429335992428673,94.79147873046205,0.33298082139800766,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271829,shuffled_null,38,0.9450914239031507,95.00840109970794,0.3268060594063628,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271842,shuffled_null,39,0.9454588570486877,95.04533851632773,0.32574153807610895,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271833,shuffled_null,40,0.948154680268652,95.31634494734422,0.3178092230956336,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271846,shuffled_null,41,0.9489723349390838,95.39854235272179,0.3153593307962576,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271838,shuffled_null,42,0.9491664506990068,95.41805647327361,0.31477460009894365,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271840,shuffled_null,43,0.9497535567096149,95.47707722188387,0.3129986925171353,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271834,shuffled_null,44,0.9530319229671711,95.80664569375011,0.30286986282146977,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271828,shuffled_null,45,0.953200463790853,95.82358881033444,0.3023390081165558,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271836,shuffled_null,46,0.956126522843907,96.11774045018942,0.29295404471421777,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271847,shuffled_null,47,0.956231913727879,96.12833521290064,0.2926098548721803,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271839,shuffled_null,48,0.9589626001222119,96.40284637834836,0.2835325934823834,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271832,shuffled_null,49,0.9614291071082872,96.65080004623847,0.2750528531118364,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271837,shuffled_null,50,0.9632290944830039,96.83174965401844,0.26868143132984207,Observed spectrum values shuffled across ell
SEVEM,shuffled_spectrum_null_seed_271830,shuffled_null,51,0.9632881205253087,96.83768343964043,0.26846973172932975,Observed spectrum values shuffled across ell
SMICA,observed_self_spectrum_control,data_control,1,0.11369265584155336,11.427209390173674,0.9935159686727205,Observed self-spectrum upper control
SMICA,planck_tilt_plus_2p0pct,planck_perturbation,2,0.18058992746971658,18.15103094986802,0.9835584772124545,Planck endpoint-normalized tilt perturbation plus 2.0 percent
SMICA,planck_tilt_plus_1p0pct,planck_perturbation,3,0.18078163115222398,18.170299020480535,0.9835232594290494,Planck endpoint-normalized tilt perturbation plus 1.0 percent
SMICA,cptg_tilt_plus_2p0pct,cptg_perturbation,4,0.18085916775946953,18.17809219797155,0.9835090042482337,CPTG endpoint-normalized tilt perturbation plus 2.0 percent
SMICA,planck_tilt_plus_0p5pct,planck_perturbation,5,0.1808846923184887,18.180657662542195,0.9835043101506193,Planck endpoint-normalized tilt perturbation plus 0.5 percent
SMICA,planck_ripple_minus_1p0pct,planck_perturbation,6,0.1809344069267453,18.18565446056836,0.9834951654126557,Planck sinusoidal ripple perturbation minus 1.0 percent
SMICA,planck_ripple_minus_2p0pct,planck_perturbation,7,0.18093654329264322,18.185869185963497,0.9834947723812819,Planck sinusoidal ripple perturbation minus 2.0 percent
SMICA,planck_ripple_minus_0p5pct,planck_perturbation,8,0.1809559531295976,18.187820061941064,0.9834912012961573,Planck sinusoidal ripple perturbation minus 0.5 percent
SMICA,planck2018_baseline_lcdm,benchmark,9,0.1809925380427071,18.19149719886366,0.9834844692077548,Planck 2018 baseline LCDM TT envelope
SMICA,cptg_tilt_plus_1p0pct,cptg_perturbation,10,0.18103498570999757,18.195763599174768,0.9834766565348568,CPTG endpoint-normalized tilt perturbation plus 1.0 percent
SMICA,planck_ripple_plus_0p5pct,planck_perturbation,11,0.1810441300725836,18.19668269588543,0.9834749732282267,Planck sinusoidal ripple perturbation plus 0.5 percent
SMICA,planck_tilt_minus_0p5pct,planck_perturbation,12,0.18110515186974754,18.202815975545363,0.983463738002696,Planck endpoint-normalized tilt perturbation minus 0.5 percent
